Metric Name,Title,Value,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
follows_and_unfollows,Follows and unfollows,0,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
profile_links_taps,Profile links taps,0,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
reach,Accounts reached,4607,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
website_clicks,Website link taps,1,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
profile_views,Profile visits,133,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
total_interactions,Content interactions,550,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
likes,Likes,440,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
comments,Comments,45,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
shares,Shares,26,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
saves,Saves,34,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
replies,Replies,5,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
views,Views,7730,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
follows_and_unfollows,Follows and unfollows,0,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
profile_links_taps,Profile links taps,0,2025-04-30 19:06:40.506765,2025-04-30,2025,April,30,19:06:40
reach,Accounts reached,2357,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
website_clicks,Website link taps,1,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
profile_views,Profile visits,83,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
total_interactions,Content interactions,271,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
likes,Likes,221,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
comments,Comments,10,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
shares,Shares,13,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
saves,Saves,25,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
replies,Replies,2,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
views,Views,4128,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
follows_and_unfollows,Follows and unfollows,0,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
profile_links_taps,Profile links taps,0,2025-05-02 09:32:57.498166,2025-05-02,2025,May,2,09:32:57
