Metric Name,Title,Value,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
views,Views,6448,2025-04-07 00:50:31.045188,2025-04-07,2025,April,7,00:50:31
follows_and_unfollows,Follows and unfollows,0,2025-04-07 00:50:31.045188,2025-04-07,2025,April,7,00:50:31
profile_links_taps,Profile links taps,0,2025-04-07 00:50:31.045188,2025-04-07,2025,April,7,00:50:31
reach,Accounts reached,3397,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
website_clicks,Website link taps,0,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
profile_views,Profile visits,149,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
total_interactions,Content interactions,427,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
likes,Likes,376,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
comments,Comments,17,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
shares,Shares,5,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
saves,Saves,29,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
replies,Replies,0,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
views,Views,5798,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
follows_and_unfollows,Follows and unfollows,0,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
profile_links_taps,Profile links taps,0,2025-04-08 00:50:30.477999,2025-04-08,2025,April,8,00:50:30
reach,Accounts reached,2700,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
website_clicks,Website link taps,2,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
profile_views,Profile visits,132,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
total_interactions,Content interactions,454,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
likes,Likes,386,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
comments,Comments,26,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
shares,Shares,13,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
saves,Saves,27,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
replies,Replies,2,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
views,Views,5179,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
follows_and_unfollows,Follows and unfollows,0,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
profile_links_taps,Profile links taps,0,2025-04-08 20:03:50.988657,2025-04-08,2025,April,8,20:03:50
reach,Accounts reached,2892,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
website_clicks,Website link taps,2,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
profile_views,Profile visits,118,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
total_interactions,Content interactions,383,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
likes,Likes,311,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
comments,Comments,32,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
shares,Shares,11,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
saves,Saves,28,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
replies,Replies,1,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
