category,age,gender,value,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
follower_demographics,25-34,M,388,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,35-44,M,141,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,45-54,M,61,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,55-64,M,20,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,65+,M,14,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,13-17,U,32,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,18-24,U,309,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,25-34,U,246,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,35-44,U,79,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,45-54,U,29,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,55-64,U,7,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
follower_demographics,65+,U,7,2025-04-01 16:52:19.498255,2025-04-01,2025,April,1,16:52:19
