"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18015752531503028,17841461458191255,locwithaush,"Aushanae Haller","Prepare to be sick of me 🤭🤭

✨

✨

✨

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",5,"03/06/2025 09:00",https://www.instagram.com/reel/DG594YFO1aL/,"IG reel",,Lifetime,498,257,48,3,,3,0
18107158669482877,17841461458191255,locwithaush,"Aushanae Haller","Forever in love with a twist wrap IDC 🤎 Bonus points if you can name the song & artist on slide 2 🤭 #wrapwednesday 

🤎

🤎

🤎

#locs #locjourney #locs #retwist #blackgirlmagic #locslove #explorepage #woc #creativity #art #selfexpression #radicalcreativity #authenticity",0,"03/05/2025 09:00",https://www.instagram.com/p/DG00PyzJc9i/,"IG carousel",,Lifetime,534,378,65,3,,15,2
18048362261010128,17841461458191255,locwithaush,"Aushanae Haller","See the two straight babies at the bottom? Used to be my biggest trouble makers.. they loc’d later, but now they’re the only ones loc’d down the full length of the loc. Funny how things change…. 🌸 #springsacomin #texturetuesday 

🌸

🌸

🌸

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"03/04/2025 09:00",https://www.instagram.com/p/DGyPc-1O36E/,"IG carousel",,Lifetime,978,734,84,6,2,9,2
18052466513138425,17841461458191255,locwithaush,"Aushanae Haller","🤍

🤍

🤍

#locs #locjourney #locs #retwist #blackgirlmagic #locslove #explorepage #woc #creativity #art #selfexpression #radicalcreativity #authenticity",0,"03/03/2025 09:00",https://www.instagram.com/p/DGvqpg1u1xg/,"IG carousel",,Lifetime,791,529,98,3,1,9,3
18051358544134609,17841461458191255,locwithaush,"Aushanae Haller","I tell them every-time that I’m not gonna retwist their hair.. I barely ever feel like doing my own. Somehow I always end up here 🤔😉🥰 but I always appreciate the opportunity to spend quality time together 💕✨

❤️‍🔥

❤️‍🔥

❤️‍🔥

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",57,"03/02/2025 09:00",https://www.instagram.com/reel/DGgN8WJODI8/,"IG reel",,Lifetime,1173,831,56,1,,2,2
18006409652537713,17841461458191255,locwithaush,"Aushanae Haller","Likeeee it needed to be butt length yesterday 👏🏽😭

🤎

🤎

🤎

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",9,"03/01/2025 08:00",https://www.instagram.com/reel/DGqaNAZOfga/,"IG reel",,Lifetime,2815,1995,164,17,1,14,2
