"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
18266547829257966,17841461458191255,locwithaush,"Aushanae Haller","Get out of your head and get some locs in your head 👏🏽🔒

🤎

🤎

🤎

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",7,"03/14/2025 08:00",https://www.instagram.com/reel/DHJM6mAuYCo/,"IG reel",,Lifetime,646,430,36,2,13,2,
18047112545462538,17841461458191255,locwithaush,"Aushanae Haller","For sh*ts & giggles but y’all got this song stuck in my head 🤭

🕺🏽

🕺🏽

🕺🏽

#locs #locjourney #locs #retwist #blackgirlmagic #locslove #explorepage #woc #creativity #art #selfexpression #radicalcreativity #authenticity",15,"03/16/2025 08:00",https://www.instagram.com/reel/DHQ7ScOukuh/,"IG reel",,Lifetime,356,260,30,0,4,2,
18058624811051573,17841461458191255,locwithaush,"Aushanae Haller","Idk about you, but for me having locs has brought me a feminine energy like no other ‼️ My locs are healthy, thick and breathtaking ✨ Anyone else feel this way?

✨

✨

✨

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"03/15/2025 08:00",https://www.instagram.com/p/DHLxwfqOsRl/,"IG carousel",,Lifetime,958,689,117,7,3,4,1
