"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Comments,Saves,Follows
18013117540740395,17841461458191255,locwithaush,"Aushanae Haller","I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,"09/25/2023 11:03",https://www.instagram.com/reel/Cxn8bhBuufV/,"IG reel",,Lifetime,910,64,1,1,3,5
18015672733855145,17841461458191255,locwithaush,"Aushanae Haller","Progress post for this #texturetuesday ☺️ Babies are starting to lose that twist pattern ‼️ Love doing these comparisons cause it’s hard to see the changes without them. That new growth going crazy too 🤪. 
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"09/26/2023 06:51",https://www.instagram.com/p/CxqEfGDuL4Z/,"IG image",,Lifetime,7630,510,15,17,47,33
17973978623547525,17841461458191255,locwithaush,"Aushanae Haller","Loc Journey from the beginning to end of Month 2 🫶🏽
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",8,"09/27/2023 06:39",https://www.instagram.com/reel/Cxsn7H9ujp7/,"IG reel",,Lifetime,1782,108,1,0,5,5
18010918453898102,17841461458191255,locwithaush,"Aushanae Haller","The weather is cooling down ☺️ Day 72
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"09/30/2023 08:40",https://www.instagram.com/p/Cx0kIeUO5CG/,"IG carousel",,Lifetime,2376,152,4,8,13,3
18012587584766919,17841461458191255,locwithaush,"Aushanae Haller","Month 2 Recap ✨
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"10/02/2023 11:14",https://www.instagram.com/p/Cx5_ZsUO3nF/,"IG image",,Lifetime,2382,133,6,8,12,4
18001730491938895,17841461458191255,locwithaush,"Aushanae Haller","#texturetuesday 🫶🏽 she’s been wrapped up so the locs are a little smushed rn but they still cute ‼️😂💕
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"10/03/2023 06:00",https://www.instagram.com/p/Cx8APieuP-2/,"IG image",,Lifetime,2912,148,4,3,8,10
18012680083762142,17841461458191255,locwithaush,"Aushanae Haller","Bandana Bangs 🫶🏽💕 • Day 80
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"10/05/2023 11:00",https://www.instagram.com/p/CyBJ4kJON6m/,"IG carousel",,Lifetime,2663,210,11,16,20,4
18007565923978864,17841461458191255,locwithaush,"Aushanae Haller","The difference in just 1 month 🥰 loving & embracing my loc journey 🫶🏽💕
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity",10,"10/07/2023 11:00",https://www.instagram.com/reel/CyGTaPEOt8A/,"IG reel",,Lifetime,964,65,1,7,2,
17892237257911692,17841461458191255,locwithaush,"Aushanae Haller","Yallllll I went to my first loc meetup ‼️‼️ It was so fun and everyone was so supportive of my starter locs and starting my journey 🥹🫶🏽 huge thanks to @locmeetup for hosting this and providing such a beautiful space for us in Houston to dance, vibe and meet each other 💕 can’t wait for the next one ‼️
•
•
•

#locjourney #locs #locstyles #locnation #starterlocs #locd",0,"10/08/2023 17:00",https://www.instagram.com/p/CyKDygEuSdu/,"IG carousel",,Lifetime,2124,117,3,20,4,1
18392786110056749,17841461458191255,locwithaush,"Aushanae Haller","Fresh after-wash pics this #texturetuesday 💕 Day 81
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/10/2023 07:11",https://www.instagram.com/p/CyOJ_u8uec-/,"IG carousel",,Lifetime,5097,325,4,8,31,12
