"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves
18322418398164950,17841461458191255,locwithaush,"Aushanae Haller","A reminder that locs are versatile 🫶🏽 1y 7m 12d

🫶🏽

🫶🏽

🫶🏽

#locs #locjourney #locs #retwist #blackgirlmagic #locslove #explorepage #woc #creativity #art #selfexpression #radicalcreativity #authenticity",0,"03/13/2025 09:00",https://www.instagram.com/p/DHEKOiUuNOZ/,"IG carousel",,Lifetime,253,187,33,3,1,0
18266547829257966,17841461458191255,locwithaush,"Aushanae Haller","Get out of your head and get some locs in your head 👏🏽🔒

🤎

🤎

🤎

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",7,"03/14/2025 08:00",https://www.instagram.com/reel/DHJM6mAuYCo/,"IG reel",,Lifetime,213,149,10,1,3,0
