"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
18071536582840671,17841461458191255,locwithaush,"Aushanae Haller","I love me a messy high pony 🤭✨ #texturetuesday 

✨

✨

✨

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"03/18/2025 09:00",https://www.instagram.com/p/DHWLxUsONY9/,"IG carousel",,Lifetime,710,484,105,7,20,1,1
18098839831510630,17841461458191255,locwithaush,"Aushanae Haller","Rodeo Dump 🤠🫶🏽 #rodeohouston 

•
•
•

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"03/20/2025 08:00",https://www.instagram.com/p/DHdzPUEuJOY/,"IG carousel",,Lifetime,262,155,50,2,1,2,
18052969679233860,17841461458191255,locwithaush,"Aushanae Haller","Can’t believe it’s almost April 🤯 How’s everyone’s March going? 🤎 #wrapwednesday 

🤎

🤎

🤎

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"03/19/2025 09:00",https://www.instagram.com/p/DHYwhmPuqDH/,"IG carousel",,Lifetime,485,353,57,3,4,4,1
