"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves
18033082448306217,17841461458191255,locwithaush,"Aushanae Haller","The loc girlys know you won’t regret it 🫶🏽‼️ 

🫶🏽

🫶🏽

🫶🏽

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",15,"03/08/2025 07:00",https://www.instagram.com/reel/DG8U87_JqrG/,"IG reel",,Lifetime,1037,692,68,3,2,1
18061306096824741,17841461458191255,locwithaush,"Aushanae Haller","Mardi Gras Recap 💜💛💚 We’re doing it bigger next year 😈 

💜

💛

💚

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"03/07/2025 09:00",https://www.instagram.com/p/DG5932CpVWb/,"IG carousel",,Lifetime,367,257,46,3,5,0
18015752531503028,17841461458191255,locwithaush,"Aushanae Haller","Prepare to be sick of me 🤭🤭

✨

✨

✨

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",5,"03/06/2025 09:00",https://www.instagram.com/reel/DG594YFO1aL/,"IG reel",,Lifetime,2469,1440,129,3,7,3
